language,keyword
en,halal meat
en,zabiha
en,halal chicken
en,halal beef
en,halal lamb
en,slaughtered according to Islamic law
ms,daging halal
ms,ayam halal
ms,lembu halal
ms,kambing halal
ar,لحم حلال
ar,دجاج حلال
ar,بقر حلال
ar,ضأن حلال
en,fish
en,prawns
en,shrimp
en,crab
en,lobster
en,salmon
en,tuna
ms,ikan
ms,udang
ms,ketam
ms,lobster
ms,salmon
ms,tuna
ar,سمك
ar,روبيان
ar,كابوريا
ar,لوبستر
ar,سلمون
ar,تونة
en,milk
en,cheese (halal-certified)
en,yogurt
en,butter
ms,susu
ms,keju (disahkan halal)
ms,yogurt
ms,mentega
ar,حليب
ar,جبن (موثق بالحلال)
ar,زبادي
ar,زبدة
en,fruit juice
en,herbal tea
en,coffee
en,milk tea
en,soy milk
ms,jus buah
ms,teh herba
ms,kopi
ms,teh susu
ms,susu soya
ar,عصير فواكه
ar,شاي عشبي
ar,قهوة
ar,حليب شاي
ar,حليب صويا
en,cumin
en,turmeric
en,ginger
en,cardamom
en,cinnamon
en,black pepper
ms,jintan
ms,kunyit
ms,halia
ms,buah pelaga
ms,kulit kayu manis
ms,lada hitam
ar,كمون
ar,كركم
ar,زنجبيل
ar,هيل
ar,قرفة
ar,فلفل أسود
en,biryani
en,hummus
en,falafel
en,tandoori chicken
en,rendang
en,roti canai
en,sambal
en,tahini
en,shakshuka
ms,biryani
ms,hummus
ms,falafel
ms,ayam tandoori
ms,rendang
ms,roti canai
ms,sambal
ms,tahini
ms,shakshuka
ar,برياني
ar,حمص
ar,فلافل
ar,دجاج تندوري
ar,رندانج
ar,روتي شاناي
ar,سامبال
ar,طحينة
ar,شكشوكة
en,olive oil
en,vegetable oil
en,coconut oil
en,sunflower oil
en,corn oil
ms,minyak zaitun
ms,minyak sayur
ms,minyak kelapa
ms,minyak bunga matahari
ms,minyak jagung
ar,زيت الزيتون
ar,زيت نباتي
ar,زيت جوز الهند
ar,زيت عباد الشمس
ar,زيت الذرة
en,white rice
en,brown rice
en,basmati rice
en,jasmine rice
en,glutinous rice
ms,beras putih
ms,beras perang
ms,beras basmati
ms,beras wangi
ms,beras pulut
ar,أرز أبيض
ar,أرز بني
ar,أرز بسمتي
ar,أرز الياسمين
ar,أرز دبق
en,lettuce
en,spinach
en,kale
en,cabbage
en,carrot
en,potato
ms,selada
ms,bayam
ms,kale
ms,kubis
ms,wortel
ms,kentang
ar,خس
ar,سبانخ
ar,كالي
ar,كرنب
ar,جزر
ar,بطاطا
